name,subcategory,category,commune,postal_code,address,phone,email,website_status,website_confidence,priority,prospect_score,opening_hours,source_url,maps_url,website_evidence
H. Events,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9332693389,"https://www.google.com/maps/search/?api=1&query=47.2136746,0.1628116",résultat ambigu (bing.com)
Horti Production,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811553,"https://www.google.com/maps/search/?api=1&query=47.2180419,0.169032",résultat ambigu (support.microsoft.com)
INEO,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811555,"https://www.google.com/maps/search/?api=1&query=47.2195191,0.164961",résultat ambigu (develop.de)
Jean-Louis Page,wine,shop:wine,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/189584154,"https://www.google.com/maps/search/?api=1&query=47.2055876,0.1457827",résultat ambigu (zhihu.com)
Kiosque à Pizza,fast_food,amenity:fast_food,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811572,"https://www.google.com/maps/search/?api=1&query=47.2118039,0.1727891",résultat ambigu (bing.com)
Le Bocage,restaurant,amenity:restaurant,,37420,,,,uncertain,low,medium,1,"Mo-Su,PH 12:00-14:00,19:00-20:00",https://www.openstreetmap.org/way/189091201,"https://www.google.com/maps/search/?api=1&query=47.2006827,0.1437487",résultat ambigu (bing.com)
Le Hangar,restaurant,amenity:restaurant,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/way/62412621,"https://www.google.com/maps/search/?api=1&query=47.2200156,0.1658095",résultat ambigu (bing.com)
Le P'tit salon de Carine,hairdresser,shop:hairdresser,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/10038069344,"https://www.google.com/maps/search/?api=1&query=47.2322323,0.2526841",résultat ambigu (bing.com)
Le Pas des Vignes,guest_house,tourism:guest_house,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/7997055228,"https://www.google.com/maps/search/?api=1&query=47.200965,0.1453677",résultat ambigu (bing.com)
Les cascades des saveurs,bakery,shop:bakery,,37420,,,,uncertain,low,medium,1,"Mo-Fr 06:30-14:00,15:00-18:30; Sa 07:30-12:30; Su off",https://www.openstreetmap.org/node/461178934,"https://www.google.com/maps/search/?api=1&query=47.2050215,0.1826438",résultat ambigu (bing.com)
Les Douceurs du Véron,bakery,shop:bakery,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/7982479488,"https://www.google.com/maps/search/?api=1&query=47.194522,0.1832449",résultat ambigu (bing.com)
Les Jardins du Cœur,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811557,"https://www.google.com/maps/search/?api=1&query=47.2155874,0.1719236",résultat ambigu (bing.com)
LMN Nettoyage,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811575,"https://www.google.com/maps/search/?api=1&query=47.2178854,0.164201",résultat ambigu (livemusicnow-hannover.de)
magpresse,newsagent,shop:newsagent,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/2017960925,"https://www.google.com/maps/search/?api=1&query=47.2052453,0.1824628",résultat ambigu (bing.com)
Maison des vins du Véron,winery,craft:winery,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/7982479492,"https://www.google.com/maps/search/?api=1&query=47.1939994,0.1851201",résultat ambigu (bing.com)
Menuiserie Arnault,joiner,craft:joiner,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811548,"https://www.google.com/maps/search/?api=1&query=47.2197047,0.1644989",résultat ambigu (bing.com)
Omexom Lensens Actea,company,office:company,,37420,,,,uncertain,low,medium,1,,https://www.openstreetmap.org/node/9335811559,"https://www.google.com/maps/search/?api=1&query=47.2183848,0.1631265",résultat ambigu (bing.com)
